Date,Competition,Time(GMT+2), Home-Team, Score, Away-Team
 18-04-2022 ,Armenie : 2eme Division,13:00, Pyunik II, 2 - 2, Ararat-Armenia II
 18-04-2022 ,Australie : Queensland Premier League 2,07:15, North Star, 1 - 0, Grange Thistle
 18-04-2022 ,Australie : Queensland PL2 Youth,05:00, North Star U23, 4 - 0, Grange Thistle U23
 18-04-2022 ,Australie : Queensland Women's Super Cup,10:00, Taringa Rovers, 3 - 1, Maroochydore
 18-04-2022 ,Australie : Nouvelle-Galles du Sud,07:00, Sydney United, 0 - 3, Sydney Olympic
 18-04-2022 ,Australie : Victoria NPL Youth League,06:30, Oakleigh Cannons U21, 2 - 4, South Melbourne U21
 18-04-2022 ,Australie : New South Wales NPL Youth League,05:00, Sydney United U20, 0 - 2, Sydney Olympic U20
 18-04-2022 ,Australie : New South Wales NPL Women,07:25, Sydney University, 2 - 0, Emerging Jets
 18-04-2022 ,Australie : Nouvelle-Galles du Sud Nord,06:00, Valentine Phoenix, 3 - 1, Lake Macquarie
 18-04-2022 ,Australie : Western Australia NPL Women,07:00, Perth, 2 - 0, Curtin University
 18-04-2022 ,Australie : Northern NSW Reserve League,04:00, Valentine Res., 1 - 2, Lake Macquarie Res.
 18-04-2022 ,Australie : Victoria,09:00, Oakleigh Cannons, 2 - 1, South Melbourne
 18-04-2022 ,Australie : Tasmania FFA Cup Preliminary,06:00, Kingborough Lions, 8 - 1, Launceston United
 18-04-2022 ,Australie : Victoria Women's Premier League,12:15, Bulleen Lions, 1 - 1, Calder United
 18-04-2022 ,Australie : Tasmania Women's Statewide Cup,04:30, Taroona, 4 - 2, University of Tasmania
 18-04-2022 ,Autriche : 1ere Division,10:30, Blau-Weiss Linz, 3 - 0, Wacker Innsbruck
 18-04-2022 ,Autriche : Regionalliga,14:30, WAC / St. Andr\u00e4 II, 0 - 0, Gurten
 18-04-2022 ,Autriche : Landesliga,11:00, Fussach, 2 - 5, Rheindorf Altach II
 18-04-2022 ,Autriche : BFV Cup,14:00, Steinbrunn, null, Oberwart / Rotenturm
 18-04-2022 ,Autriche : TFV Cup,11:00, Vu6ls, 0 - 1, Telfs
 18-04-2022 ,Autriche : STFV Cup,15:00, Neumarkt, null, Mucrzzuschlag
